word,pos
លោកទ្រង់បាត្រ,ន.
ទ្រង់ទ្រាយ,ន.
ទ្រងាង,គុ.
ទ្រងើង,គុ.
ទ្រងើល,គុ.
ទ្រតៗ,"គុ.កិ., គុ."
ទ្រទូង,កិ.
ទ្រទួយ,គុ.
ទ្រទេស,គុ.
ទ្រទេសទ្រទន់,គុ.
ទ្រទេសទ្រទួយ,គុ.
ទ្រទ្រង់,កិ.
ទ្រនង់,គុ.
ទ្រនល់,ន.
ទ្រនាប់,ន.
ទ្រនាប់ជើង,ន.
ទ្រនិច,ន.
ទ្រនឹប,ន.
ទ្រនុង,ន.
ទ្រនុល,ន.
ទ្រនូល,ន.
ទ្រនើរ,ន.
ទ្រនេល,ន.
ទ្រនេស,ប.
ទ្រនំ,ន.
គេបានទ្រនំខ្ពស់,ន.
គេមានទ្រនំរបស់គេ,ន.
ផ្ទះធំទ្រនំខ្ពស់,
ទ្រនំលលក,ន.
ទ្របៗ,"គុ.កិ., គុ."
ទ្រពង,ន.
ទ្រព្យ,ន.
ទ្រព្យធន,ន.
ទ្រព្យសម្បត្តិ,ន.
ទ្រព្យសកម្ម,ន.
ទ្រព្យសកម្មចរន្ត,ន.
ទ្រព្យសកម្មរូបី,ន.
ទ្រព្យសកម្មអចល័ត,ន.
ទ្រព្យសកម្មអរូបី,ន.
ទ្រព្យា,ន.
អ្នកមានទ្រព្យា,ន.
ទ្រម,គុ.
ទ្រមក់,"គុ., គុ.កិ."
ទ្រមម,គុ.
ទ្រមល់,ន.
ទ្រមាក,គុ.
ទ្រមាក់,ន.
ទ្រមាក់ខ្លា,ន.
ទ្រមីង,គុ.
ទ្រមឹង,គុ.កិ.
ទ្រមូង,ន.
ទ្រមូងសេក,ន.
ទ្រមួច,ន.
ទ្រមើ,គុ.
ទ្រមើង,គុ.
ទ្រមើម,គុ.
ទ្រមើយ,គុ.កិ.
ទ្រមេញ,គុ.
ទ្រមេម,ន.
ទ្រមែ,គុ.
ទ្រមែង,ន.
ទ្រមាំង,ន.
ទ្រយន,គុ.
ទ្រយាន,គុ.
ទ្រយឹង,ន.
ទ្រយុក,គុ.
ទ្រលន់,គុ.
ទ្រលឹងទឹង,ន.
ទ្រលុក,គុ.
ទ្រលូ,គុ.
ទ្រលោម,គុ.កិ.
ទ្រវៀច,គុ.
ទ្រវែង,គុ.
ទ្រវះ,គុ.
ទ្រហឹង,"គុ.កិ., គុ."
ទ្រហោ,កិ.
ទ្រា,សព្វ.
ទ្រាន់,កិ.
ទ្រាន់ចិត្ត,កិ.
ទ្រាន់ដៃ,កិ.
ទ្រាប,ន.
ទ្រាប់,កិ.
ទ្រាយ,ន.
ទ្រាល,កិ.
ទ្រាស,ន.
ទ្រីបស្រូវ,ន.
ទ្រីប៉ាណូសូម,ន.
ទ្រីមទ្រម,គុ.កិ.
ទ្រីលាន,គុ.
ទ្រីសឺណែឡូស,ន.
ទ្រឹង,"កិ., គុ.កិ."
ទ្រឹស្ដី,ន.
ទ្រឹស្ដីធៀប,ន.
ទ្រឹស្ដីបទ,ន.
ទ្រឹស្តិ,ន.
ទ្រឹស្តិស្មូរ,"គុ., ន."
ទ្ឫស្តិ,ន.
ទ្រុង,ន.
ទ្រុឌ,កិ.
ទ្រុឌទ្រោម,គុ.
រាងកាយទ្រុឌទ្រោម,
ទ្រុប,"គុ., គុ.កិ."
ទ្រុបៗ,ឧ.
ទ្រុម,គុ.
ទ្រុយ,"កិ., គុ."
ទ្រុល,គុ.កិ.
ទ្រុបទ្រុល,គុ.
ទ្រុលទ្រុប,គុ.កិ.
ទ្រុស្ត,កិ.
ទ្រុស្តសីល,គុ.
ទ្រុះ,កិ.
ទ្រូ,ន.
ទ្រូង,ន.
ទ្រូងផ្លូវ,ន.
ទ្រូងព្រៃ,ន.
ទ្រូលាវ,ន.
ដូចទ្រូលាវ,
ទ្រួក,"កិ., គុ."
ទ្រួស,កិ.
ទ្រួសៗ,គុ.កិ.
ទ្រើង,ន.
ទ្រើតៗ,គុ.កិ.
ទ្រើស,គុ.
ទ្រើសកម្លាំង,គុ.
ទ្រើសចិត្ត,គុ.
ទ្រើសឃ្នង,គុ.
ទ្រើសទ្រង់,គុ.
ទ្រៀក,ន.
ទ្រៀល,ន.
ទ្រៀស,ន.
ទ្រេត,គុ.
ទ្រេតទ្រោត,"គុ.កិ., គុ."
ទ្រេល,"កិ., គុ.កិ."
ទ្រែម,ប.
ទ្រែលទ្រល,"គុ., គុ.កិ."
ទ្រោប,កិ.
ទ្រោម,កិ.
ទ្រោម!,ឧ.
ទ្រោល,កិ.
ទ្រាំ,កិ.
ទ្រាំង,ន.
ទ្រាំតែ,កិ.
ទ្រាំទ្រ,កិ.
ទ្រាំទ្រឹស្តិ,"កិ., គុ.កិ."
ទ្វន្ទ,"គុ.កិ., គុ."
ទ្វន្ទយុធ,ន.
ទ្វន្ទ្វយុធ,ន.
ទ្វយវាទ,ន.
ទ្វាទស,គុ.
ទ្វាទសកៈ,ន.
ទ្វាទសមាស,ន.
ទ្វាទសវត្សរ៍,ន.
ទ្វារ,ន.
ដៃទ្វារ,ន.
ត្រចៀកទ្វារ,ន.
ទ្វារទឹក,ន.
ទ្វារធំ,ន.
ទ្វារនាយក,ន.
ទ្វារបតី,ន.
ទ្វារបាល,ន.
ទ្វិកនិយម,ន.
ទ្វិកភាព,ន.
ទ្វិជក,ន.
ទ្វិជសត្វ,ន.
ទ្វិជាករ,ន.
ទ្វិទន្ត,ន.
ទ្វិបត្តសត្វ,ន.
ទ្វិបថ,ន.
ទ្វិបទ,"ន., គុ."
ទ្វិបាទ,"ន., គុ."
ទ្វិរាប,ន.
ទ្វិលោហនិយម,ន.
ទ្វិសប្ដាហៈ,ន.
ទ្វិសប្ដាហ៍,ន.
ទ្វី,គុ.
ទ្វីគុណ,គុ.
ទ្វីប,ន.
ទ្វីស,ន.
ទ្វេ,គុ.
ទ្វេគុណ,គុ.
ទ្វេគ្រាះ,ន.
ទ្វេគ្រោះ,ន.
ទ្វេតាអេឡិចត្រុង,ន.
ទ្វេទិស,"ន., គុ."
ទ្វេធា,ន.
ទ្វេធ្វេស,កិ.
ទ្វេបត្ត,គុ.
ទ្វេបាទ,ន.
ទ្វេពន្ធភាព,ន.
ទ្វេព្យាង្គ,ន.
ទ្វេភាគ,ន.
ទ្វេភាគី,គុ.
ទ្វេភាព,"គុ., ន."
ទ្វេសញ្ជាតិ,ន.
ទ្វេស្សជន,ន.
ទ្វេហារ,ន.
ធ,ន.
ធ័ក,កិ.
ធញ្ញជាតិ,ន.
ធញ្ញមាស,ន.
ធតរដ្ឋ,ន.
ធន,ន.
ធន់,កិ.
ធនក្កីតា,ន.
ធនក្រីត,ន.
ធនក្ស័យ,ន.
ធនទណ្ឌ,ន.
ធនធាន,ន.
ធនធានធម្មជាតិ,ន.
ធនប័ណ្ណ,ន.
ធនបត្រ,ន.
ធនប័ត្រ,ន.
ធនមូល,ន.
ធនលាភ,ន.
ធនលាភឩត្តរជីវី,ន.
ធនលាភីយភាព,ន.
ធនលោភ,ន.
ធនសារ,ន.
ធនាករ,ន.
ធនាគារ,ន.
ធនាគារកណ្ដាល,ន.
ធនាគារពាណិជ្ជ,ន.
ធនាគារឯកទេស,ន.
ធនាគារិក,ន.
ធនាគារិកា,ន.
ធនាធិការិនី,ន.
ធនាធិការី,ន.
ធនានុគ្រោះ,ន.
ធនិកាធិបតេយ្យ,ន.
ធនិត,ន.
ធនិន,"គុ., ន."
ធនុ,ន.
ធនុហត្ថ,ន.
ធម៌,ន.
ធមនី,ន.
ធម្ម,ន.
ធម៌រត្ន,ន.
ធម៌រ័ត្ន,ន.
ធម្មកថា,ន.
ធម្មកម្ម,ន.
ធម្មកាយ,ន.
ធម្មការ,ន.
ធម្មក្ខន្ធ,ន.
ធម្មគុណ,ន.
ធម្មគោរព,ន.
ធម្មចក្ក,ន.
ធម្មចក្កប្បវត្តនសូត្រ,ន.
ធម្មចក្ខុ,ន.
ធម្មចរិយា,ន.
ធម្មចេតិយ,ន.
ធម្មតា,ន.
ធម្មទាន,ន.
ធម្មទូត,ន.
ធម្មទេសនា,ន.
ធម្មធាតុ,ន.
ធម្មនិទ្ទេស,ន.
ធម្មនិយម,ន.
ធម្មនិយាម,ន.
ធម្មនីតិ,ន.
ធម្មនូញ្ញ,ន.
ធម្មន្តេវាសិក,ន.
ធម្មបថ,ន.
ធម្មបទ,ន.
ធម្មបទដ្ឋកថា,ន.
ធម្មបរិយាយ,ន.
ធម្មបាមោជ្ជ,ន.
ធម្មបាល,ន.
ធម្មបីតិ,ន.
ធម្មបូជា,ន.
ធម្មប្បដិបត្តិ,ន.
ធម្មប្បដិរូប,ន.
ធម្មប្បដិសម្ភិទា,ន.
ធម្មមន្ទីរ,ន.
ធម្មមាមកៈ,ន.
ធម្មមូល,ន.
ធម្មមោទនា,ន.
ធម្មយុត្ត,"ន., គុ."
ធម្មរក្ខិត,"គុ., ន."
ធម្មរក្ខិតា,ន.
ធម្មរក្សា,ន.
ធម្មរតនៈ,ន.
ធម្មរាជ,ន.
ធម្មរ័តន៍,ន.
ធម្មលាភ,ន.
ធម្មវិធី,ន.
ធម្មសង្គាយនា,ន.
ធម្មសង្គាហកត្ថេរ,ន.
ធម្មសង្គីតិ,ន.
ធម្មសង្គីតិកាចារ្យ,ន.
ធម្មសភា,ន.
ធម្មសាកច្ឆា,ន.
ធម្មសាត្រ,ន.
ធម្មសាមី,ន.
ធម្មសារ,ន.
ធម្មសាលា,ន.
ធម្មសាសន៍,ន.
ធម្មសេនាបតី,ន.
ធម្មស្សវនកាល,ន.
ធម្មសំវេគ,ន.
ធម្មាចារ្យ,ន.
ធម្មាធិករណ៍,ន.
ធម្មាធិការ,ន.
ធម្មាធិការនាយក,ន.
ធម្មាធិការី,ន.
ធម្មាធិដ្ឋាន,ន.
ធម្មាធិបតេយ្យ,"ន., គុ."
ធម្មាធិប្បាយ,ន.
ធម្មានុរូប,គុ.
ធម្មារម្មណ៍,ន.
ធម្មាសនៈ,ន.
ធម្មាសន៍,ន.
ធម្មិក,គុ.
ធម្មិករាជ,ន.
ធម្មុទ្ទេស,ន.
ធម្ម—,
ធម្មកថិក,ន.
ធម្មជាត,ន.
ធម្មជាតិ,ន.
ធម្មធរ,ន.
ធម្មនិយាមកម្ម,ន.
ធម្មនុញ្ញ,ន.
ធម្មនុញ្ញភាព,ន.
ធម្មបាលកុមារ,ន.
ធម្មភេទ,ន.
ធម្មយុត្តិ,ន.
ធម្មយុត្តិកនិកាយ,ន.
ធម្មលិខិត,ន.
ធម្មសាស្ត្រ,ន.
ធម្មា–,
ធម្មិ―,
ធម្មុ―,
ធរណិន្ទ,ន.
ធរណី,ន.
នាងធរណី,ន.
ធរណីដងគោម,ន.
ធរណីដងទង់,ន.
ធរណីទ្វារ,ន.
ធរណីមាត្រ,ន.
ធរណីវិទូ,ន.
ធរណីវិទ្យា,ន.
ធរណីសង្ឃ,ន.
ធរមាន,ន.
ធរមានប្បញ្ញត្តិ,ន.
ធាក់,កិ.
ធាក់ច្រំ,កិ.
ធាង,ន.
ធាត់,គុ.
ធាតុ,ន.
ធាតុកថា,ន.
ធាតុប្បច្ចវេក្ខណៈ,ន.
ធាតុចេតិយ,ន.
ធាតុនិធាន,ន.
ធាតុអន្តរធាន,ន.
ធាតុ—,
ធាតុចូល,ន.
ធាតុចេញ,ន.
ធាតុទោល,ន.
ធាតុរំលាយ,ន.
ធាតុវិជ្ជា,ន.
ធាតុវិទ្យា,ន.
ធាតុវិភាគ,ន.
ធាតុអាកាស,ន.
ធាត្រី,ន.
ធាន,ប.
ធានា,ន.
ធានារ៉ាប់រង,កិ.
ធានី,ន.
ធារ,ន.
ធារាសាស្រ្ត,ន.
ធារាសាស្រ្តកសិកម្ម,ន.
ធាវកបក្សី,ន.
ធី,កិ.
ធីតា,ន.
ធីប,កិ.
ធឹង,ប.
ធឺ,ន.
ធុង,ន.
ធុងទឹកកក,ន.
ធុងអាគុយ,ន.
ធុញ,កិ.
ធុញថប់,
ធុញទ្រាន់,
ធុតង្គ,ន.
ធុន,ន.
ធុរៈ,ន.
ធុរកិច្ច,ន.
ធុរជន,ន.
ធុរនិក្ខេប,ន.
ធូតង្គ,ន.
ធូប,ន.
មួយធូប,ន.
ធូបនកម្ម,ន.
ធូបនោសថ,ន.
ធូមកាលិក,"គុ., ន."
ធូមកេតុ,ន.
ធូរ,កិ.
ធូរធារ,"គុ., កិ."
ធូររលុង,"គុ., គុ.កិ."
ធូរស្បើយ,"គុ., កិ."
ធូរស្រាល,"គុ., កិ."
ធូលី,ន.
ធូលីសួត,ន.
ធួ,ន.
ធួន,កិ.
ធៀប,កិ.
ធេង,គុ.
ធេងធោង,"គុ.កិ., គុ."
ធោវកៈ,ន.
ធោវនដ្ឋាន,ន.
ធោវិកា,ន.
ធុំ,កិ.
ធុំល្មុត,កិ.
ធុំមាត់,កិ.
ធំ,គុ.
ធាត់ធំ,គុ.
ធំក្រអុច,គុ.
ធំធាត់,"កិ., គុ.កិ."
ធំបំផុត,គុ.
ធ្ងន់,គុ.
ធ្ងន់ក,កិ.
ធ្ងន់ក្បាល,គុ.
ធ្ងន់ខ្លួន,គុ.
ធ្ងន់ធ្ងរ,គុ.
ធ្ងន់ពោះ,កិ.
ធ្ងាង,គុ.
ធ្ងើង,"គុ.កិ., គុ."
ធ្ងើល,គុ.
ធ្ងោង,"គុ.កិ., គុ."
ធ្ងោល,គុ.កិ.
ធ្ងាំង,"គុ.កិ., គុ."
ធ្នង់,ន.
ធ្នល់,ន.
ធ្នស់,ន.
ធ្នាក់,ន.
ធ្នាប់,ន.
ធ្នារ,ន.
ធ្និម,ន.
ធ្នឹម,ន.
ធ្នឹមបណ្ដែត,ន.
ធ្នូ,ន.
ធ្នូខ្វែក,ន.
ធ្នើរ,ន.
ធ្នះ,ន.
ធ្មង់,គុ.
ធ្មត់,ប.
ធ្មប់,ន.
ធ្មា,ន.
ធ្មឹង,គុ.កិ.
ធ្មុង,ន.
កាច់ធ្មុង,កិ.
ធ្មុងកញ្ចុះ,ន.
ធ្មួល,ន.
ធ្មើង,"គុ., គុ.កិ."
ធ្មេច,កិ.
ចុះហត្ថលេខាខ្វាក់,កិ.
ចុះហត្ថលេខាធ្មេចភ្នែក,កិ.
ទាំងធ្មេច,គុ.កិ.
ទាំងធ្មេចភ្នែក,គុ.កិ.
ធ្មេចភ្នែក,កិ.
មនុស្សធ្មេចភ្នែក,គុ.
ធ្មេញ,ន.
ធ្មេញកំណើត,ន.
ធ្មេញទឹកដោះ,ន.
ធ្មេញព្រៃ,ន.
ធ្មេញស្រុក,ន.
ធ្មេញកណ្ដុរ,ន.
ធ្មេញកណ្ដូប,ន.
ធ្មេញក្របី,ន.
ធ្មេញចាស់,ន.
ធ្មេញឈើ,ន.
ធ្មេញត្រី,ន.
ធ្មេញត្រីស្បាត,ន.
ធ្មេញសេះ,ន.
ធ្មៃ,ន.
ធ្មោង,"គុ., គុ.កិ."
ធ្មៅ,ន.
ធ្មាំង,គុ.កិ.
ធ្យាន,ន.
ធ្យានទៅ,កិ.
ធ្យានចិត្ត,ន.
ធ្យានផល,ន.
ធ្យានពល,ន.
ធ្យានឫទ្ធិ,ន.
ធ្យានសុខ,ន.
ធ្យានានុភាព,ន.
ធ្យានិពុទ្ធ,ន.
ធ្យូង,ន.
ធ្យូងថ្ម,ន.
ធ្លក,ន.
ធ្លា,ន.
ធ្លាក់,កិ.
ធ្លាក់ខ្លួន,កិ.
ធ្លាក់ថ្លើមក្ដុក,កិ.
ធ្លាក់ទឹក,កិ.
ធ្លាក់ភ្នែក,គុ.កិ.
ធ្លាក់ស,ន.
ធ្លាប់,ធ.
ធ្លាប់តែ,ធ.
ធ្លាប់តែនិយាយត្រង់,
ធ្លាប់តែបានសុខស្រួល,
ធ្លាយ,កិ.
ធ្លីង,កិ.
ធ្លុង,ន.
ត្រូវធ្លុងគ្នា,គុ.កិ.
ធ្លុងមួយ,គុ.កិ.
ធ្លុញ,កិ.
ធ្លុះ,គុ.
ក្រឡេកធ្លុះ,កិ.
ចាក់ធ្លុះ,កិ.
ធ្លុះធ្លាយ,កិ.
ធ្លូ,គុ.
ធ្លូញ,កិ.
ធ្លួង,"គុ., គុ.កិ."
ធ្លែរ,"គុ., គុ.កិ."
ធ្លែល,"គុ., គុ.កិ."
ធ្លោ,គុ.កិ.
ធ្លោយ,កិ.
ធ្លាំង,គុ.កិ.
លែងខ្លួនធ្លាំង,កិ.
ធ្លះ,ន.
ធ្វើ,កិ.
ធ្វើកិច្ច,កិ.
ធ្វើព្យុះធ្វើភ្លៀង,
ធ្វើភ្លៀងធ្វើផ្គរ,
ធ្វើហី,"កិ., គុ.កិ."
ធ្វើឱ្យល្អិតល្អន់,កិ.
ធ្វើអំណោយ,កិ.
ធ្វើខ្លួន,កិ.
ធ្វើគត,កិ.
ធ្វើទុក្ខ,កិ.
ធ្វើទុក្ខបុកម្នេញ,កិ.
ធ្វើធ្មេញលេញល័ក្ដ,ន.
ធ្វើមុខ,កិ.
ធ្វេស,កិ.
ធ្វេសទ្វេ,កិ.
ន,ន.
ន៏,ឧ.
នក,គុ.
នក្ខត្ត,ន.
នក្ខត្តឫក្ស,ន.
នក្សត្រ,ន.
នក្សត្រឫក្ស,ន.
នខា,ន.
នខ្វាក់,ន.
នគរ,ន.
នគរជន,ន.
នគរជុំ,ន.
នគរធំ,ន.
នគរបាល,ន.
នគរបុរី,ន.
នគររាជ,ន.
នគររាជជាតិ,ន.
នគររាជជើងព្រៃ,ន.
នគររាជភ្លេងជាតិ,ន.
នគរវត្ត,ន.
នគរសោភិនី,ន.
នគរូបនីយកម្ម,ន.
នគ្គជន,ន.
សមណៈអាក្រាត,ន.
នគ្គនិយម,ន.
នគ្គភាព,ន.
នគ្គសមណៈ,ន.
នង្គ័ល,ន.
នច្ចា,កិ.
នដកីឡា,ន.
នតិភាព,ន.
នត្តា,ន.
នត្ថិភាព,ន.
នត្ថុកម្ម,ន.
នទី,ន.
កុន្នទី,
មហានទី,ន.
ននល,"គុ., គុ.កិ."
ននលគក,គុ.
ននៀល,កិ.
វាននៀលនៅហ្នឹង,
ននោង,ន.
ននោងជ្រុង,ន.
ននោងទេស,ន.
ននោងពស់,ន.
ននោងមូល,ន.
ននោងសាញ,ន.
ននោងព្រៃ,ន.
ននះ,"គុ.កិ., គុ."
ននះនរនាទ,"គុ.កិ., គុ."
នប,ន.
នប់,គុ.
នបុំសកៈ,ន.
នបុំសកលិង្គ,ន.
នព្វ,គុ.
នព្វគុណ,"គុ., ន."
នព្វគ្រោះ,ន.
នព្វន្ត,ន.
នព្វរត្ន,ន.
នព្វរ័តន៍,ន.
នព្វលោកុត្តរ,ន.
នព្វលោកុត្តរធម៌,ន.
នព្វស័ក,"ន., គុ."
នព្វកោណ,ន.
នព្វកោណនិយ័ត,ន.
នព្វសូល៍,ន.
នភកេតន៍,ន.
នភគោល,ន.
នភប្រាណ,ន.
នភមណី,ន.
នភមណ្ឌល,ន.
នភា,ន.
នភាបទី,ន.
នភាបាទ,ន.
នភាល័យ,ន.
នភោធូម,ន.
នមស្ការ,ន.
ន័យ,ន.
នយនៈ,ន.
នយនេត្រ,ន.
នយលក្ខណៈ,ន.
នយោបាយ,ន.
នរៈ,ន.
នរក,ន.
នរកកុណ្ឌ,ន.
នរឃាត,ន.
នរឃាតក,ន.
នរឃាតក៍,ន.
នរឃាតកម្ម,ន.
នរជាតិ,ន.
នរជេដ្ឋ,ន.
នរណា,ន.
នរទេព,ន.
នរនាថ,ន.
នរនាថា,ន.
នរនាទ,ន.
នរនាម,ន.
នរបតី,ន.
នរពិស្វណ៍,ន.
នរវិទូ,ន.
នរវិទ្យា,ន.
នរសិង្ហ,ន.
នរសីហៈ,ន.
នរសីហ៍,ន.
នរាធិប,ន.
នរាធិបតិន្ទ,ន.
នរាធិបតី,ន.
នរាសភ,ន.
នរិន្ទ,ន.
នឫបតី,ន.
នរូ,ន.
នរេន្ទ្រ,ន.
នរេសូរ,ន.
នរោត្តម,គុ.
នលាដ,ន.
នវកជន,ន.
នវកភាព,ន.
នវកម្ម,ន.
នវជន,ន.
នវនិយម,ន.
នវនីត,ន.
នវមាលិកា,ន.
នវវគ្គ,ន.
នវសម័យ,ន.
នវសិលា,ន.
នវាគត,"គុ., ន."
នវាគតភណ្ឌ,ន.
នវានុវត្តន៍,ន.
នវុតិ,គុ.
នវោត្បន្ន,"គុ., ន."
នហានោទក,ន.
នហារុ,ន.
នហុត,គុ.
នា,ធ.
នាក់,គុ.
នាកាល,ឈ.
នាគ,គុ.
នាគទណ្ឌ,ន.
នាគទន្ត,ន.
នាគបាស,ន.
នាគប្រក់,ន.
នាគព័ន្ធ,ន.
នាគមាណវិកា,ន.
នាគមាណវី,ន.
នាគរា,ន.
នាគរាជ,ន.
នាគរិក,"ន., គុ."
នាគរិកា,"ន., គុ."
នាគរី,ន.
នាគលោក,ន.
នាគវិថី,ន.
នាគា,ន.
នាគាធិបតី,ន.
នាគី,ន.
នាង,ន.
នាងច្រាល,ន.
នាងដែង,ន.
នាងដៃ,ន.
នាងនក់,ន.
នាងនាគ,ន.
នាងនួន,ន.
នាងផ្អែក,ន.
នាងរង,ន.
នាងវង,ន.
នាងស្វាយ,ន.
នាច,កិ.
មានជោរមាននាច,
នាដ,ន.
នាដក,ន.
នាដកម្ម,ន.
នាដករ,ន.
នាដករស,ន.
នាដកសាល,ន.
នាដកអក្សរសិល្ប៍,ន.
នាដកា,ន.
នាដការី,ន.
នាដកីឡា,ន.
នាដសាស្រ្ត,ន.
នាដ្យកថា,ន.
នាដ្យរស,ន.
នាថ,"ន., គុ."
នាទី,ន.
នានា,គុ.
នានាជាតិ,"ន., គុ."
នានានុក្រម,"ន., គុ."
នានានុភាព,"ន., គុ."
នានាប្រទេស,"ន., គុ."
នានាសំវាស,គុ.
នាបី,ធ.
នាភី,ន.
នាម,កិ.
នាមករណ៍,ន.
នាមកាយ,ន.
នាមការក៍,ន.
នាមកិរិយា,ន.
នាមក្រិយា,ន.
នាមគ្គហណមង្គល,ន.
នាមបច្ឆាមរណៈ,ន.
នាមប័ណ្ណ,ន.
នាមប្បញ្ញត្តិ,ន.
នាមរនាប់,ន.
នាមវលី,ន.
នាមសព្ទ,ន.
នាមាភិធេយ្យ,ន.
នាម៉ឺន,ន.
នាយ,ន.
នាយកប៉ាល់,ន.
នាយសំពៅ,ន.
នាយសមុទ្រ,ន.
នាយក,ន.
នាយករង,ន.
នាយកដ្ឋាន,ន.
នាយកធម៌,ន.
នាយករដ្ឋមន្រ្តី,ន.
នាយចក្របាលទោ,ន.
នាយចក្របាលឯក,ន.
នាយចំណង់,ន.
នាយទាហាន,ន.
នាយទាហានរង,ន.
នាយទោ,ន.
នាយនាវីចំណង់,ន.
នាយឯក,ន.
នាយិកា,ន.
នារ,"គុ.កិ., គុ."
ដីនារ,ន.
នារទជាតក,ន.
នារាយណ៍,ន.
នារី,ន.
នារីក្លាហាន,ន.
នារីផល,ន.
នារីរត្ន,ន.
នាល,ន.
នាលិ,ន.
នាវ,កិ.
នាវា,ន.
នាវាចរ,កិ.
នាវាចរណ៍,ន.
នាវាដឹកប្រេង,ន.
នាវាផ្ទុកយន្តហោះ,ន.
នាវាពិឃាត,ន.
នាវាមុជទឹក,ន.
នាវាជីវិត,ន.
នាវាភណ្ឌ,ន.
នាវាវេតន៍,ន.
នាវាសណ្ដោង,ន.
នាវិក,"ន., គុ."
នាវិកទោ,ន.
នាវិកនាយក,ន.
នាវិកនាយិកា,ន.
នាវិកបតានី,ន.
នាវិកបតី,ន.
នាវិកា,ន.
នាវិកាធិបតី,ន.
នាវូបករណ៍,ន.
នាសន,ន.
នាសនៈ,ន.
នាសនង្គ,ន.
នាសនា,ន.
នាសា,ន.
នាសិក,ន.
នាសិកជៈ,ន.
នាសិកដ្ឋានជៈ,"គុ., ន."
នាសិករោគ,ន.
នាសិកា,ន.
នាសិការោគ,ន.
នាហ្មឺន,ន.
នាឡ,ន.
នាឡិ,ន.
នាឡិកា,ន.
នាឡិកាដក់,ន.
នាឡិកាដៃ,ន.
នាឡិកាប៉ោល,ន.
នាឡិការោទ៍,ន.
នាឡិកាស្ទង់,ន.
និកម្មភាព,ន.
និករ,ន.
និកាយ,ន.
និក្កង្ខា,ន.
និក្ខេបបទ,ន.
និគម,ន.
និគមជន,ន.
និគមវចនៈ,ន.
និគ៌ុណ,គុ.
និគ្គហិត,ន.
និគ្រន្ថ,ន.
និគ្រោធ,ន.
និគ្រោធព្រឹក្ស,ន.
និគ្រោធារាម,ន.
និឃណ្ដសាស្ត្រ,ន.
និង,ឈ.
និចល,គុ.
និចលករ,ន.
និចលនិយម,ន.
និចលភាព,ន.
និច្ច,"គុ., គុ.កិ."
និច្ចកម្ម,ន.
និច្ចកាល,គុ.កិ.
និច្ចភត្ត,ន.
និច្ចភាព,ន.
និច្ចសម័យ,ន.
និច្ចសីល,ន.
និច្ចលករ,ន.
និណ៌េត្រ,ន.
និត្យ,គុ.កិ.
និត្យសមាជិក,ន.
និត្យនៅ,កិ.
និទណ្ឌភាព,ន.
និទស្សន៍,ន.
និទាឃៈ,ន.
និទាន,ន.
និទានកថា,ន.
និទានវចនៈ,ន.
និទាយាទភាព,ន.
និទ៌ុក្ខ,គុ.
និទ៌េស,ន.
និទ៌ោស,គុ.
និទ្ទេស,ន.
និទ្ទោសកម្ម,ន.
និទ្រា,ន.
និទ្រាលុភាព,ន.
និន្ទា,ន.
និន្នាការ,ន.
និន្នាទ,គុ.
និបាត,ន.
និបាតជាតក,ន.
និបាតសព្ទ,ន.
និបិដ្ឋ្យាដ្ឋិក,គុ.
និប្បរិយាយ,ន.
និពទ្ធកុសល,ន.
និពន្ធ,កិ.
និពន្ធនាយក,ន.
និពន្ធនាយិកា,ន.
និព្វាន,ន.
និព្វាននរក,ន.
និព្វិសោធ,គុ.
និមន្ត,កិ.
និមន្តន៍,ន.
និមល,ន.
និមិត,កិ.
និមិត្ត,ន.
និមិត្តរូប,ន.
និមិត្តរូបនិយម,ន.
និមិត្តរូបារម្មណ៍,ន.
និមិត្តសញ្ញា,ន.
និមិត្តហេតុ,ន.
និមុត្តិ,ន.
និមុត្តិកិច្ច,ន.
និមុត្តិធានា,ន.
និមូលវិចារណ៍,ន.
និម្មល,ន.
និម្មានរតី,ន.
និម្មាបនកម្ម,ន.
និម្មាបនិក,ន.
និម្មិត,កិ.
និម្មិតកម្ម,ន.
និយ័ត,គុ.
និយ័តកម្ម,ន.
និយ័តករ,ន.
និយ័តភាព,ន.
និយ័តភាវូបនីយកម្ម,ន.
និយតមិច្ឆាទិដ្ឋិ,ន.
និយម,កិ.
និយាម,ន.
និយាមកា,ន.
និយាយ,កិ.
និយាយខ្សឹបៗ,កិ.
និយាយដើម,កិ.
និយាយលេង,កិ.
និយាយអ៊‍ីចឹង,
និយោជក,ន.
និយោជិត,ន.
និយោជិតា,ន.
និយ្យានិកធម៌,ន.
និរគុណ,គុ.
និរណេត្រ,ន.
និរតី,ន.
និរទុក្ខ,គុ.
និរទេស,ន.
និរទោស,គុ.
និរន្តរ,គុ.កិ.
និរន្តរភាព,ន.
និរន្តរាយ,ន.
និរន្តរ៍,គុ.កិ.
និរប្រវេស,ន.
និរប្រវេសន៍,ន.
និរភ័យ,គុ.
និរមិត,កិ.
និរយបាល,ន.
និរាករណ៍,ន.
និរាណានិគមកម្ម,ន.
និរាស,កិ.
និរុត្តិ,ន.
និរុត្តិប្បដិសម្ភិទា,ន.
និរុត្តិវិទូ,ន.
និរុត្តិសាស្ត្រ,ន.
និរុត្តិសាស្ត្រគម្ពីរ,ន.
និរុទកបាយាស,ន.
និរុបការ,ន.
